row,sen_number,participant
99,2024SIR0005266,ERO New Orleans
99,2024SIR0005266,ICE Health Service Corps (IHSC)
99,2024SIR0005266,Winn Correctional Center (WCC)
100,2024SIR0005278,ERO Miami
100,2024SIR0005278,ICE Health Service Corps (IHSC)
100,2024SIR0005278,Krome Service Processing Center (KSPC)
101,2024SIR0005277,ERO San Antonio
101,2024SIR0005277,ICE Health Service Corps (IHSC)
101,2024SIR0005277,South Texas ICE Processing Center (STIPC)
102,2024SIR0005311,ERO Atlanta
102,2024SIR0005311,Stewart Detention Center (SDC)
103,2024SIR0005300,ERO New Orleans
103,2024SIR0005300,River Correctional Center (RCC)
104,2024SIR0005332,ERO San Diego
104,2024SIR0005332,Imperial Regional Detention (ICSO)
105,2024SIR0005345,ERO El Paso
105,2024SIR0005345,ICE Health Service Corps (IHSC)
105,2024SIR0005345,El Paso Processing Center (EPC)
106,2024SIR0005537,ERO El Paso
106,2024SIR0005537,Cibola County Correctional Center (CCCC)
107,2024SIR0005542,ERO San Antonio
107,2024SIR0005542,South Texas ICE Processing Center (STIPC)
107,2024SIR0005542,ICE Health Service Corps (IHSC)
108,2024SIR0005631,ERO Dallas
108,2024SIR0005631,Bluebonnet Detention Center (BBDC)
108,2024SIR0005631,Jones County Sheriff's Department (JCSD)
109,2024SIR0005637,ERO Miami
109,2024SIR0005637,ICE Health Service Corps (IHSC)
109,2024SIR0005637,Krome Service Processing Center (KSPC)
110,2024SIR0005693,ERO Miami
110,2024SIR0005693,ICE Health Service Corps (IHSC)
110,2024SIR0005693,Krome Service Processing Center (KSPC)
111,2024SIR0005731,ERO New Orleans
111,2024SIR0005731,Central Louisiana ICE Correctional Center (CLIPC)
112,2024SIR0005713,ERO Phoenix
112,2024SIR0005713,Central Arizona Florence Correctional Complex (CAFCC)
113,2024STR0005725,ERO San Antonio
113,2024STR0005725,South Texas ICE Processing Center (STIPC)
113,2024STR0005725,ICE Health Service Corps (IHSC)
114,2024SIR0005779,ERO Atlanta
